type,typeName,name,spell,spellAll,code
PFund,私募,盈捷九头鸟2期,YJJTN2Q,yingjie,P00297
PFund,私募,盈捷九头鸟4期,YJJTN4Q,yingjie,P00299
PFund,私募,宏石1号,HS1H,changyu,P00300
PFund,私募,锐集一号,RJYH,ruiji,P00302
PFund,私募,小海豚,XHT,xiaohaituntouzi,P00301
PFund,私募,理成转子6号,LCZZ6H,licheng,P00158
PFund,私募,理成风景1号,LCFJ1H,licheng,P00159
PFund,私募,淡水泉成长七期,DSQCZQQ,danshuiquan,P00250
PFund,私募,岁腾一号,STYH,kaishi,P00251
PFund,私募,凯信1号,KX1H,kaishi,P00252
PFund,私募,华西红利来五号B,HXHLLWHB,huaxizhengquan,J00904
PFund,私募,渤海蓝海2号,BHLH2H,bohaizhengquan,J01044
PFund,私募,国泰君安君享稳融三号,GTJAJXWRSH,guotaijunanzhengquan,J00925
