advisor_id,company_name,fund_id,fund_short_name,id,inception_date,initial_unit_value,manager_id,manager_name,manager_name_real,nav,price_date,ret_1m,ret_1y,ret_2y,ret_3m,ret_3y,ret_4y,ret_5y,ret_6m,ret_incep,ret_incep_a,ret_ytd
CO000000G0,华银精治,HF00000CDC,华银精选,33,2014-11-18,1.0,PL0000002D,丁洋,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL0000002D"">丁洋</a>",8.2689,2015-07-31,4.391823,,,5.969153,,,,7.741833,7.2689,22.777797,8.290899
CO000000NU,百仕旺,HF000003F1,黑天鹅二号,34,2012-07-06,1.0,PL000000Q9,孟庆华,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000000Q9"">孟庆华</a>",8.131143,2015-08-17,-0.117655,-0.272661,,-0.077076,7.673219,,,0.378861,7.131143,0.97326,-0.124852
CO000001G9,善境投资(佛意),HF0000096A,善境投资(原佛意投资),35,2010-03-04,1.0,PL000003HR,吴洪涛,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000003HR"">吴洪涛</a>",8.117866,2015-08-17,-0.32629,-0.353047,0.501634,-0.633317,0.360347,1.625128,7.454393,-0.902552,7.117866,0.471963,-0.857648
CO000000QR,清水源,HF0000026B,兴业信托-清水源1号,36,2011-11-23,1.0,PL00000351,张小川,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL00000351"">张小川</a>",7.805,2015-08-07,0.009128,2.403689,4.188115,-0.243929,7.058022,,,0.693499,6.805,0.729681,1.148067
,,HF0000092H,阿土1号,37,2014-07-15,1.0,PL000003G6,陈永盛,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000003G6"">陈永盛</a>",7.70337,2015-08-17,0.0,6.656923,,-0.262458,,,,0.106134,6.70337,5.583768,0.209308
CO000001K6,前海黄埔猎鹰,HF00000GBU,前海猎鹰二号,38,2014-12-22,1.0,PL00000365,单明军,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL00000365"">单明军</a>",7.099954,2015-05-29,0.736039,,,1.568388,,,,,6.386226,120.398752,3.481803
,,HF0000099I,雨人一号,39,2013-10-25,1.0,PL000003IM,上官立军,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000003IM"">上官立军</a>",7.251493,2014-12-22,1.042709,5.510419,,3.470182,,,,4.930115,6.251493,4.463982,5.510419
CO000000MT,道冲投资,HF00000EK7,道冲套利3号进取级,40,2014-12-16,1.0,PL000000NO,李盛开,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000000NO"">李盛开</a>",7.2326,2015-08-07,-0.00926,,,0.711048,,,,2.169552,6.2326,18.450988,3.407434
CO000000FU,景林资产,HF000000JY,华润信托-景林稳健,41,2006-10-31,100.0,PL0000000Z,蒋锦志,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL0000000Z"">蒋锦志</a>",722.44,2015-07-31,-0.044303,0.664723,0.927021,-0.042593,1.055949,0.936473,1.234374,0.166712,6.2244,0.253571,0.17884
CO000002W6,西藏中睿合银投资,HF000000G8,中铁信托-鑫兰瑞,42,2008-08-26,1.0,PL00000038,刘睿,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL00000038"">刘睿</a>",7.0039,2015-07-31,0.181794,1.452518,1.711642,0.397008,2.092093,1.642084,2.45735,0.763451,6.0039,0.325006,0.891566
CO000001M1,德亚投资,HF00000AKU,德亚进取1号,43,2014-09-11,1.0,PL000000D0,张明利,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000000D0"">张明利</a>",6.8643,2015-08-07,1.5e-05,,,-0.063022,,,,1.21215,5.8643,7.178063,1.365206
CO000001DM,厦门誉信丰投资,HF000008CL,乐活成长,44,2012-08-13,1.0,PL0000039Q,陈世彬,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL0000039Q"">陈世彬</a>",6.7011,2015-08-17,0.005936,3.314305,3.298181,0.619425,5.668066,,,1.494917,5.7011,0.885307,1.624277
